"order_id","order_date","region","city","cuisine","restaurant","daypart","platform","membership","weather","promo","items","distance_km","delivery_min","subtotal","tip","total","rating"
"FD-0001","2024-06-02","Midwest","Chicago","Sushi","Pacific Roll","Lunch","iOS","Plus","Rain","No",4,2.23,33.5,26.42,5.16,31.58,4
"FD-0002","2024-06-03","East","Boston","Thai","Lemongrass Cart","Late Night","Android","Pro","Rain","No",4,1.69,25.1,30.82,8.75,39.57,4.5
"FD-0003","2024-06-03","West","Seattle","Mexican","Taco Libre","Lunch","Android","Free","Snow","No",2,5.8,46.7,16.3,2.53,18.83,3
"FD-0004","2024-06-04","South","Miami","Thai","Night Market Bowl","Dinner","Android","Plus","Rain","No",6,3.77,51.5,22.7,4.2,26.9,3.5
"FD-0005","2024-06-04","South","Miami","Indian","Tandoor Lane","Dinner","Web","Plus","Clear","Yes",3,3.72,31.1,16.93,4.15,21.08,4.5
"FD-0006","2024-06-05","South","Nashville","Thai","Night Market Bowl","Lunch","iOS","Free","Cloudy","Yes",4,2.83,30.2,21.67,4.15,25.82,3.5
"FD-0007","2024-06-06","East","Boston","Ramen","Tonkotsu Lab","Afternoon","Web","Pro","Cloudy","No",2,3.22,25.2,16.37,3.81,20.18,4
"FD-0008","2024-06-06","East","Boston","Burgers","Smash District","Dinner","iOS","Free","Cloudy","No",2,1.94,35.1,17.75,2.92,20.67,3.5
"FD-0009","2024-06-07","West","Seattle","Pizza","Wood Oven Co","Afternoon","iOS","Free","Rain","No",2,2.42,28.2,14.28,2.38,16.66,4
"FD-0010","2024-06-11","South","Nashville","Indian","Masala Hour","Late Night","Web","Pro","Snow","No",3,6.33,52.2,14.98,3.38,18.36,4
"FD-0011","2024-06-11","West","Seattle","Mediterranean","Citrus Grill","Afternoon","iOS","Plus","Cloudy","Yes",2,1.5,20.1,10.86,1.97,12.83,4
"FD-0012","2024-06-13","West","Seattle","Mediterranean","Olive & Fig","Lunch","Android","Free","Cloudy","No",2,3.36,24.8,18.17,2.61,20.78,4
"FD-0013","2024-06-15","Midwest","Chicago","Mexican","Masa & Lime","Dinner","iOS","Free","Clear","No",2,7.41,52.6,19.07,2.14,21.21,3.5
"FD-0014","2024-06-15","West","Seattle","Ramen","Broth & Bone","Lunch","iOS","Free","Rain","Yes",2,5.52,42.5,12.15,3.48,15.63,3.5
"FD-0015","2024-06-15","West","Seattle","Burgers","Gold Bun","Afternoon","Android","Free","Rain","No",3,3.05,27.7,14.33,1.63,15.96,4.5
"FD-0016","2024-06-17","South","Austin","Mexican","Taco Libre","Afternoon","Android","Free","Cloudy","No",2,3.44,25.7,12.29,0.75,13.04,4.5
"FD-0017","2024-06-18","West","Seattle","Mediterranean","Olive & Fig","Dinner","Android","Plus","Clear","No",2,3.56,29.4,21,2.66,23.66,4
"FD-0018","2024-06-21","West","Portland","Ramen","Midnight Noodle","Lunch","iOS","Free","Cloudy","Yes",2,3.55,31.2,10.37,1.28,11.65,3.5
"FD-0019","2024-06-21","West","Denver","Sushi","Nori Desk","Dinner","iOS","Free","Cloudy","No",3,2.63,33.2,28.09,2.73,30.82,4
"FD-0020","2024-06-25","West","Portland","Thai","Lemongrass Cart","Lunch","Android","Pro","Cloudy","No",3,2.49,24.1,25.03,6.24,31.27,4
"FD-0021","2024-06-25","Midwest","Chicago","Ramen","Broth & Bone","Lunch","iOS","Free","Rain","No",2,3.09,35.3,10.7,2.04,12.74,4
"FD-0022","2024-06-26","East","Boston","Thai","Lemongrass Cart","Late Night","iOS","Free","Clear","No",4,3.04,16.9,24.04,3.58,27.62,4
"FD-0023","2024-06-26","West","Denver","Mediterranean","Citrus Grill","Lunch","iOS","Free","Snow","No",5,8.48,55.3,16.41,2.88,19.29,3.5
"FD-0024","2024-06-28","East","Boston","Mexican","Masa & Lime","Afternoon","iOS","Free","Clear","No",3,5.74,36.6,11.55,1.55,13.1,3.5
"FD-0025","2024-06-28","West","Portland","Pizza","Slice Theory","Late Night","Android","Free","Clear","No",2,2.76,21.8,20.41,2.92,23.33,4.5
"FD-0026","2024-06-29","East","Boston","Ramen","Broth & Bone","Afternoon","Android","Free","Cloudy","No",1,3.64,31.3,11.74,0.46,12.2,3.5
"FD-0027","2024-06-29","West","Denver","Thai","Night Market Bowl","Lunch","iOS","Free","Clear","No",2,4.26,35.5,15.14,1.2,16.34,4
"FD-0028","2024-07-01","Midwest","Chicago","Indian","Masala Hour","Lunch","iOS","Pro","Cloudy","No",3,2.38,24.1,19.54,3.17,22.71,4.5
"FD-0029","2024-07-01","South","Austin","Indian","Cardamom Cart","Late Night","Web","Pro","Rain","No",2,4.98,31.1,22.03,2.5,24.53,3.5
"FD-0030","2024-07-01","South","Austin","Pizza","Wood Oven Co","Dinner","iOS","Free","Clear","No",3,4.7,29.7,20.38,2.81,23.19,4
"FD-0031","2024-07-03","South","Austin","Thai","Lemongrass Cart","Late Night","iOS","Pro","Rain","No",2,1.38,27,18.79,5,23.79,4.5
"FD-0032","2024-07-03","West","Portland","Mediterranean","Pita Press","Lunch","Android","Free","Rain","No",2,2.63,31,16.91,2.77,19.68,3.5
"FD-0033","2024-07-04","South","Austin","Mexican","Taco Libre","Lunch","Web","Free","Rain","No",1,4.34,35.3,11.59,1.33,12.92,4
"FD-0034","2024-07-05","South","Nashville","Mexican","Taco Libre","Dinner","Android","Plus","Cloudy","Yes",4,4.25,37.3,21.58,4.89,26.47,4
"FD-0035","2024-07-06","East","Boston","Indian","Tandoor Lane","Dinner","Android","Free","Cloudy","No",2,1.7,28.2,19.43,2.28,21.71,4
"FD-0036","2024-07-06","East","Boston","Thai","Night Market Bowl","Late Night","iOS","Plus","Clear","Yes",2,3.01,16.3,14,2.91,16.91,4
"FD-0037","2024-07-08","South","Austin","Sushi","Omakase Express","Lunch","Android","Free","Rain","No",4,4.4,38.1,20.44,3.03,23.47,3.5
"FD-0038","2024-07-08","South","Nashville","Indian","Cardamom Cart","Dinner","Android","Free","Clear","No",2,3.33,34.4,14.56,0.74,15.3,3.5
"FD-0039","2024-07-09","West","Portland","Burgers","Smash District","Lunch","Android","Plus","Clear","No",2,3.07,37.7,17.28,2.98,20.26,3.5
"FD-0040","2024-07-11","East","Boston","Mexican","Chile Verde","Late Night","Android","Free","Cloudy","No",2,8.2,49,15.73,1.94,17.67,3.5
"FD-0041","2024-07-12","West","Portland","Mexican","Masa & Lime","Dinner","Android","Free","Cloudy","No",2,5.69,46.7,11.71,1.67,13.38,4
"FD-0042","2024-07-13","South","Austin","Thai","Night Market Bowl","Dinner","Android","Plus","Rain","No",8,2.65,39.4,18.97,4.3,23.27,4
"FD-0043","2024-07-13","Midwest","Chicago","Ramen","Midnight Noodle","Late Night","Web","Plus","Cloudy","No",4,4.87,32.1,26.64,4.06,30.7,4.5
"FD-0044","2024-07-14","West","Denver","Sushi","Omakase Express","Dinner","Web","Free","Cloudy","No",5,3.14,29.5,30.93,0,30.93,4
"FD-0045","2024-07-14","East","Boston","Mexican","Chile Verde","Afternoon","Android","Plus","Cloudy","No",4,5.39,28.2,10.37,2,12.37,4.5
"FD-0046","2024-07-17","South","Austin","Mediterranean","Citrus Grill","Lunch","iOS","Pro","Clear","No",2,6.03,34.7,12.29,2.92,15.21,3.5
"FD-0047","2024-07-17","East","Boston","Mexican","Chile Verde","Afternoon","iOS","Plus","Clear","No",1,4.23,25.9,9.44,1.71,11.15,4
"FD-0048","2024-07-18","South","Miami","Mexican","Taco Libre","Lunch","Web","Free","Rain","No",1,6.93,53.2,12.52,1.91,14.43,3
"FD-0049","2024-07-18","Midwest","Chicago","Pizza","Late Night Pie","Dinner","iOS","Free","Rain","No",4,2.26,35,23.16,2.79,25.95,4
"FD-0050","2024-07-20","Midwest","Chicago","Mediterranean","Olive & Fig","Lunch","iOS","Free","Clear","Yes",5,4.15,34.9,13.81,2.17,15.98,3.5
"FD-0051","2024-07-20","South","Austin","Sushi","Omakase Express","Afternoon","Android","Plus","Clear","No",2,5.41,32.3,19.23,3.84,23.07,4
"FD-0052","2024-07-20","West","Seattle","Mexican","Taco Libre","Lunch","iOS","Free","Cloudy","No",2,2.06,23.6,10.55,1.37,11.92,4
"FD-0053","2024-07-20","Midwest","Chicago","Sushi","Pacific Roll","Late Night","iOS","Free","Rain","No",3,3.22,28.7,22.34,3.34,25.68,4
"FD-0054","2024-07-22","West","Seattle","Mexican","Chile Verde","Dinner","Web","Free","Rain","Yes",4,2.88,37.5,12.48,0.9,13.38,3.5
"FD-0055","2024-07-25","East","Boston","Pizza","Slice Theory","Dinner","Android","Plus","Cloudy","No",2,1.59,25.8,22.45,4.59,27.04,4
"FD-0056","2024-07-25","West","Portland","Sushi","Pacific Roll","Lunch","Android","Free","Rain","No",4,1.45,28.8,25.62,4.03,29.65,4.5
"FD-0057","2024-07-25","South","Austin","Pizza","Late Night Pie","Dinner","iOS","Free","Clear","No",5,3.39,28.7,21.26,2.42,23.68,4
"FD-0058","2024-07-26","Midwest","Chicago","Burgers","Gold Bun","Afternoon","Android","Free","Clear","No",5,3.47,22.7,15.03,1.81,16.84,4
"FD-0059","2024-07-26","South","Austin","Mexican","Taco Libre","Lunch","iOS","Free","Clear","No",3,5.13,41,9.72,0.98,10.7,4
"FD-0060","2024-07-28","South","Nashville","Mediterranean","Citrus Grill","Lunch","Android","Free","Clear","No",3,2.19,25.9,18.12,1.35,19.47,5
"FD-0061","2024-07-31","Midwest","Chicago","Pizza","Slice Theory","Dinner","iOS","Plus","Rain","No",4,1.43,33.8,24.26,3.13,27.39,4.5
"FD-0062","2024-08-01","Midwest","Chicago","Ramen","Broth & Bone","Afternoon","iOS","Free","Clear","Yes",2,2.84,21.6,10.53,2,12.53,4.5
"FD-0063","2024-08-01","West","Seattle","Burgers","Patty Wagon","Afternoon","iOS","Pro","Clear","No",3,2.8,22.3,17.86,2.97,20.83,4.5
"FD-0064","2024-08-01","West","Portland","Indian","Masala Hour","Lunch","Android","Free","Rain","No",3,2.17,25,15.93,2.19,18.12,4
"FD-0065","2024-08-02","East","Boston","Burgers","Patty Wagon","Dinner","Android","Free","Clear","Yes",2,1.4,26.6,15.41,3.6,19.01,4.5
"FD-0066","2024-08-03","South","Austin","Mediterranean","Olive & Fig","Lunch","iOS","Pro","Cloudy","No",2,6.59,42.9,13.78,2.78,16.56,4
"FD-0067","2024-08-06","West","Seattle","Mexican","Chile Verde","Lunch","Web","Plus","Cloudy","No",2,4.4,32.7,16.37,3.43,19.8,4
"FD-0068","2024-08-12","South","Austin","Mexican","Masa & Lime","Lunch","iOS","Free","Clear","No",3,2.47,18.3,16.04,0.91,16.95,3.5
"FD-0069","2024-08-13","South","Nashville","Indian","Cardamom Cart","Dinner","Android","Plus","Rain","No",3,5.62,45.5,18.23,3.36,21.59,3.5
"FD-0070","2024-08-14","South","Austin","Thai","Bangkok Alley","Dinner","iOS","Pro","Snow","Yes",3,3.11,43.1,13.34,3.33,16.67,3
"FD-0071","2024-08-14","West","Portland","Burgers","Gold Bun","Lunch","Android","Free","Snow","No",2,6.16,43,14.77,1.86,16.63,3.5
"FD-0072","2024-08-15","East","Boston","Mediterranean","Pita Press","Late Night","iOS","Free","Clear","No",3,1.32,15.3,17.55,1.11,18.66,4.5
"FD-0073","2024-08-16","South","Austin","Mexican","Taco Libre","Lunch","Android","Free","Clear","No",1,3.78,26.2,12.56,1.6,14.16,4.5
"FD-0074","2024-08-18","South","Nashville","Mexican","Masa & Lime","Dinner","iOS","Free","Cloudy","No",2,2.36,28,17.9,2.64,20.54,4
