order_id,order_date,region,city,channel,product,category,quantity,unit_price,revenue,customer_type,promo
ORD-0001,2024-01-16,West,Portland,Web,Single Origin Ethiopia,Coffee,1,18.00,18.00,Returning,No
ORD-0002,2024-01-20,East,Philadelphia,Web,Gift Card,Other,6,25.00,150.00,New,No
ORD-0003,2024-01-21,West,San Francisco,Wholesale,House Blend,Coffee,1,12.50,12.50,Returning,No
ORD-0004,2024-01-22,West,Portland,Retail,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0005,2024-01-27,East,Philadelphia,Wholesale,Single Origin Ethiopia,Coffee,1,15.30,15.30,Returning,Yes
ORD-0006,2024-01-28,Midwest,Chicago,Retail,House Blend,Coffee,1,12.50,12.50,Returning,No
ORD-0007,2024-01-28,East,Boston,Web,Single Origin Ethiopia,Coffee,2,18.00,36.00,Returning,No
ORD-0008,2024-01-29,Midwest,Detroit,Wholesale,Ceramic Mug,Merch,2,14.00,28.00,Returning,No
ORD-0009,2024-01-30,Midwest,Detroit,Retail,Chai Concentrate,Tea,6,11.00,66.00,Returning,No
ORD-0010,2024-01-30,West,Portland,Retail,Single Origin Ethiopia,Coffee,1,18.00,18.00,New,No
ORD-0011,2024-02-08,West,Seattle,Web,Chai Concentrate,Tea,12,11.00,132.00,Returning,No
ORD-0012,2024-02-09,South,Austin,Retail,Chai Concentrate,Tea,12,9.35,112.20,New,Yes
ORD-0013,2024-02-10,East,Philadelphia,Web,Matcha Powder,Tea,1,22.00,22.00,Returning,No
ORD-0014,2024-02-12,West,San Francisco,Retail,Single Origin Ethiopia,Coffee,12,18.00,216.00,Returning,No
ORD-0015,2024-02-14,South,Miami,Web,Single Origin Ethiopia,Coffee,6,18.00,108.00,Returning,No
ORD-0016,2024-02-17,East,Philadelphia,Web,Matcha Powder,Tea,2,18.70,37.40,New,Yes
ORD-0017,2024-02-18,Midwest,Minneapolis,Retail,House Blend,Coffee,2,12.50,25.00,Returning,No
ORD-0018,2024-02-20,South,Miami,Retail,Single Origin Ethiopia,Coffee,1,18.00,18.00,Returning,No
ORD-0019,2024-02-21,West,Portland,Retail,Gift Card,Other,2,25.00,50.00,New,No
ORD-0020,2024-02-23,East,Boston,Retail,Ceramic Mug,Merch,2,14.00,28.00,Returning,No
ORD-0021,2024-02-24,Midwest,Chicago,Retail,Single Origin Ethiopia,Coffee,4,18.00,72.00,New,No
ORD-0022,2024-02-26,South,Austin,Retail,Espresso Capsules,Coffee,1,16.00,16.00,Returning,No
ORD-0023,2024-02-28,South,Atlanta,Web,House Blend,Coffee,3,12.50,37.50,New,No
ORD-0024,2024-03-01,East,New York,Retail,Travel Tumbler,Merch,2,28.00,56.00,New,No
ORD-0025,2024-03-12,East,New York,Retail,House Blend,Coffee,2,12.50,25.00,Returning,No
ORD-0026,2024-03-21,Midwest,Minneapolis,Retail,Ceramic Mug,Merch,1,14.00,14.00,Returning,No
ORD-0027,2024-03-23,East,New York,Retail,Gift Card,Other,2,25.00,50.00,Returning,No
ORD-0028,2024-03-24,West,San Francisco,Web,Single Origin Ethiopia,Coffee,2,18.00,36.00,New,No
ORD-0029,2024-03-27,East,Boston,Retail,Matcha Powder,Tea,4,22.00,88.00,Returning,No
ORD-0030,2024-03-28,South,Austin,Web,House Blend,Coffee,2,12.50,25.00,Returning,No
